n;type;threshold;msec
6500;"reversed";20;1186208
6600;"reversed";20;1200875
6700;"reversed";20;1209334
6800;"reversed";20;1224917
6900;"reversed";20;1238542
7000;"reversed";20;1260792
7100;"reversed";20;1270750
7200;"reversed";20;1284083
7300;"reversed";20;1300750
7400;"reversed";20;1312417
7500;"reversed";20;1324750
7600;"reversed";20;1336583
7700;"reversed";20;1360250
7800;"reversed";20;1370084
7900;"reversed";20;1420250
8000;"reversed";20;1394500
8100;"reversed";20;1416500
8200;"reversed";20;1434209
8300;"reversed";20;1451375
8400;"reversed";20;1465375
8500;"reversed";20;1487291
8600;"reversed";20;1499708
8700;"reversed";20;1509334
8800;"reversed";20;1525292
8900;"reversed";20;1554916
9000;"reversed";20;1563916
9100;"reversed";20;1573750
9200;"reversed";20;1591958
9300;"reversed";20;1606917
9400;"reversed";20;1617541
9500;"reversed";20;1632333
9600;"reversed";20;1646792
9700;"reversed";20;1657208
9800;"reversed";20;1678166
9900;"reversed";20;1690833
10000;"reversed";20;1707709
500;"almost_sorted";20;55208
600;"almost_sorted";20;64208
700;"almost_sorted";20;96666
800;"almost_sorted";20;106750
900;"almost_sorted";20;116208
1000;"almost_sorted";20;125584
1100;"almost_sorted";20;137167
1200;"almost_sorted";20;147459
1300;"almost_sorted";20;172542
1400;"almost_sorted";20;214709
1500;"almost_sorted";20;226625
1600;"almost_sorted";20;237917
1700;"almost_sorted";20;248917
1800;"almost_sorted";20;260250
1900;"almost_sorted";20;274209
2000;"almost_sorted";20;284750
2100;"almost_sorted";20;297833
2200;"almost_sorted";20;310584
2300;"almost_sorted";20;321625
2400;"almost_sorted";20;331959
2500;"almost_sorted";20;344084
2600;"almost_sorted";20;388167
2700;"almost_sorted";20;462084
2800;"almost_sorted";20;475459
2900;"almost_sorted";20;488875
3000;"almost_sorted";20;504167
3100;"almost_sorted";20;520834
3200;"almost_sorted";20;527834
3300;"almost_sorted";20;543209
3400;"almost_sorted";20;553083
3500;"almost_sorted";20;567125
3600;"almost_sorted";20;580334
3700;"almost_sorted";20;593000
3800;"almost_sorted";20;605125
3900;"almost_sorted";20;617792
4000;"almost_sorted";20;629541
4100;"almost_sorted";20;644583
4200;"almost_sorted";20;662042
4300;"almost_sorted";20;677625
4400;"almost_sorted";20;688417
4500;"almost_sorted";20;703625
4600;"almost_sorted";20;717083
4700;"almost_sorted";20;729416
4800;"almost_sorted";20;742250
4900;"almost_sorted";20;756583
5000;"almost_sorted";20;769167
5100;"almost_sorted";20;782292
5200;"almost_sorted";20;871666
5300;"almost_sorted";20;944000
5400;"almost_sorted";20;1011834
5500;"almost_sorted";20;1025125
5600;"almost_sorted";20;1040166
5700;"almost_sorted";20;1058208
5800;"almost_sorted";20;1073417
5900;"almost_sorted";20;1086000
6000;"almost_sorted";20;1102250
6100;"almost_sorted";20;1115958
6200;"almost_sorted";20;1132708
6300;"almost_sorted";20;1150166
6400;"almost_sorted";20;1164000
6500;"almost_sorted";20;1181458
6600;"almost_sorted";20;1198000
6700;"almost_sorted";20;1205417
6800;"almost_sorted";20;1220000
6900;"almost_sorted";20;1234708
7000;"almost_sorted";20;1247916
7100;"almost_sorted";20;1262958
7200;"almost_sorted";20;1279083
7300;"almost_sorted";20;1294625
7400;"almost_sorted";20;1307917
7500;"almost_sorted";20;1321708
7600;"almost_sorted";20;1334500
7700;"almost_sorted";20;1354208
7800;"almost_sorted";20;1364125
7900;"almost_sorted";20;1379542
8000;"almost_sorted";20;1390500
8100;"almost_sorted";20;1412834
8200;"almost_sorted";20;1426584
8300;"almost_sorted";20;1443500
8400;"almost_sorted";20;1457583
8500;"almost_sorted";20;1479208
8600;"almost_sorted";20;1492541
8700;"almost_sorted";20;1504834
8800;"almost_sorted";20;1522875
8900;"almost_sorted";20;1537209
9000;"almost_sorted";20;1550667
9100;"almost_sorted";20;1566166
9200;"almost_sorted";20;1591250
9300;"almost_sorted";20;1597125
9400;"almost_sorted";20;1613500
9500;"almost_sorted";20;1623292
9600;"almost_sorted";20;1640541
9700;"almost_sorted";20;1654208
9800;"almost_sorted";20;1674125
9900;"almost_sorted";20;1687541
10000;"almost_sorted";20;1704208
500;"random";30;57375
600;"random";30;66417
700;"random";30;75125
800;"random";30;84250
900;"random";30;92250
1000;"random";30;130042
1100;"random";30;140833
1200;"random";30;152375
1300;"random";30;161916
1400;"random";30;171375
1500;"random";30;182209
1600;"random";30;192000
1700;"random";30;202417
1800;"random";30;212208
1900;"random";30;221000
2000;"random";30;288750
2100;"random";30;304958
2200;"random";30;316500
2300;"random";30;327917
2400;"random";30;349166
2500;"random";30;352000
2600;"random";30;363375
2700;"random";30;375834
2800;"random";30;386417
2900;"random";30;398333
3000;"random";30;409791
3100;"random";30;420625
3200;"random";30;433500
3300;"random";30;446166
3400;"random";30;457500
3500;"random";30;467416
3600;"random";30;479583
3700;"random";30;491291
3800;"random";30;504208
3900;"random";30;568209
4000;"random";30;639000
4100;"random";30;656333
4200;"random";30;674750
4300;"random";30;690125
4400;"random";30;700292
4500;"random";30;713791
4600;"random";30;724500
4700;"random";30;743125
4800;"random";30;755584
4900;"random";30;767083
5000;"random";30;781375
5100;"random";30;794291
5200;"random";30;809083
5300;"random";30;823292
5400;"random";30;835542
5500;"random";30;847583
5600;"random";30;859291
5700;"random";30;872042
5800;"random";30;885875
5900;"random";30;900667
6000;"random";30;911833
6100;"random";30;924541
6200;"random";30;939583
6300;"random";30;956750
6400;"random";30;967459
6500;"random";30;979792
6600;"random";30;991875
6700;"random";30;1004125
6800;"random";30;1019958
6900;"random";30;1030417
7000;"random";30;1043792
7100;"random";30;1057042
7200;"random";30;1072208
7300;"random";30;1087667
7400;"random";30;1098459
7500;"random";30;1111875
7600;"random";30;1123542
7700;"random";30;1156666
7800;"random";30;1258166
7900;"random";30;1358083
8000;"random";30;1401750
8100;"random";30;1427542
8200;"random";30;1440708
8300;"random";30;1458292
8400;"random";30;1476250
8500;"random";30;1497458
8600;"random";30;1507583
8700;"random";30;1523416
8800;"random";30;1535792
8900;"random";30;1552166
9000;"random";30;1564625
9100;"random";30;1581666
9200;"random";30;1593417
9300;"random";30;1610583
9400;"random";30;1629458
9500;"random";30;1640917
9600;"random";30;1656625
9700;"random";30;1671875
9800;"random";30;1686083
9900;"random";30;1700708
10000;"random";30;1716875
500;"reversed";30;55125
600;"reversed";30;64625
700;"reversed";30;73208
800;"reversed";30;81500
900;"reversed";30;89667
1000;"reversed";30;125958
1100;"reversed";30;137458
1200;"reversed";30;147291
1300;"reversed";30;156916
1400;"reversed";30;168208
1500;"reversed";30;177792
1600;"reversed";30;187750
1700;"reversed";30;198875
1800;"reversed";30;208542
1900;"reversed";30;217625
2000;"reversed";30;283625
2100;"reversed";30;303708
2200;"reversed";30;336417
2300;"reversed";30;335709
2400;"reversed";30;335083
2500;"reversed";30;345583
2600;"reversed";30;351459
2700;"reversed";30;363958
2800;"reversed";30;375167
2900;"reversed";30;386500
3000;"reversed";30;396292
3100;"reversed";30;409458
3200;"reversed";30;419625
3300;"reversed";30;432542
3400;"reversed";30;443083
3500;"reversed";30;452250
3600;"reversed";30;464916
3700;"reversed";30;478584
3800;"reversed";30;502084
3900;"reversed";30;552167
4000;"reversed";30;621000
4100;"reversed";30;636750
4200;"reversed";30;652917
4300;"reversed";30;668500
4400;"reversed";30;681083
4500;"reversed";30;696292
4600;"reversed";30;711667
4700;"reversed";30;719209
4800;"reversed";30;732625
4900;"reversed";30;744459
5000;"reversed";30;771917
5100;"reversed";30;779458
5200;"reversed";30;789041
5300;"reversed";30;800584
5400;"reversed";30;815833
5500;"reversed";30;824334
5600;"reversed";30;835583
5700;"reversed";30;849875
5800;"reversed";30;874167
5900;"reversed";30;898625
6000;"reversed";30;909334
6100;"reversed";30;921500
6200;"reversed";30;938000
6300;"reversed";30;951833
6400;"reversed";30;959458
6500;"reversed";30;974333
6600;"reversed";30;987125
6700;"reversed";30;1000333
6800;"reversed";30;1012916
6900;"reversed";30;1053500
7000;"reversed";30;1027083
7100;"reversed";30;1040042
7200;"reversed";30;1059458
7300;"reversed";30;1069750
7400;"reversed";30;1088083
7500;"reversed";30;1097959
7600;"reversed";30;1109708
7700;"reversed";30;1145125
7800;"reversed";30;1289250
7900;"reversed";30;1400250
8000;"reversed";30;1448500
8100;"reversed";30;1455750
8200;"reversed";30;1480333
8300;"reversed";30;1492083
8400;"reversed";30;1512083
8500;"reversed";30;1518541
8600;"reversed";30;1548292
8700;"reversed";30;1497791
8800;"reversed";30;1514125
8900;"reversed";30;1532083
9000;"reversed";30;1545291
9100;"reversed";30;1563209
9200;"reversed";30;1577000
9300;"reversed";30;1592959
9400;"reversed";30;1615500
9500;"reversed";30;1622583
9600;"reversed";30;1640209
9700;"reversed";30;1647667
9800;"reversed";30;1669416
9900;"reversed";30;1683125
10000;"reversed";30;1698584
500;"almost_sorted";30;54625
600;"almost_sorted";30;63208
700;"almost_sorted";30;71375
800;"almost_sorted";30;79333
900;"almost_sorted";30;87417
1000;"almost_sorted";30;123958
1100;"almost_sorted";30;134833
1200;"almost_sorted";30;144375
1300;"almost_sorted";30;159125
1400;"almost_sorted";30;168584
1500;"almost_sorted";30;175417
1600;"almost_sorted";30;185458
1700;"almost_sorted";30;195083
1800;"almost_sorted";30;206042
1900;"almost_sorted";30;215750
2000;"almost_sorted";30;282666
2100;"almost_sorted";30;296334
2200;"almost_sorted";30;308709
2300;"almost_sorted";30;317833
2400;"almost_sorted";30;329000
2500;"almost_sorted";30;340583
2600;"almost_sorted";30;351416
2700;"almost_sorted";30;363500
2800;"almost_sorted";30;380250
2900;"almost_sorted";30;388500
3000;"almost_sorted";30;399083
3100;"almost_sorted";30;410917
3200;"almost_sorted";30;423250
3300;"almost_sorted";30;434083
3400;"almost_sorted";30;444833
3500;"almost_sorted";30;455500
3600;"almost_sorted";30;465833
3700;"almost_sorted";30;480667
3800;"almost_sorted";30;490375
3900;"almost_sorted";30;556875
4000;"almost_sorted";30;627167
4100;"almost_sorted";30;643208
4200;"almost_sorted";30;655959
4300;"almost_sorted";30;675417
4400;"almost_sorted";30;685041
4500;"almost_sorted";30;696625
4600;"almost_sorted";30;713708
4700;"almost_sorted";30;724292
4800;"almost_sorted";30;734833
4900;"almost_sorted";30;747375
5000;"almost_sorted";30;761542
5100;"almost_sorted";30;771666
5200;"almost_sorted";30;786500
5300;"almost_sorted";30;804000
5400;"almost_sorted";30;815125
5500;"almost_sorted";30;836500
5600;"almost_sorted";30;844042
5700;"almost_sorted";30;858208
5800;"almost_sorted";30;869792
5900;"almost_sorted";30;883542
6000;"almost_sorted";30;895375
6100;"almost_sorted";30;907417
6200;"almost_sorted";30;923250
6300;"almost_sorted";30;936042
6400;"almost_sorted";30;946833
6500;"almost_sorted";30;966416
6600;"almost_sorted";30;974000
6700;"almost_sorted";30;989625
6800;"almost_sorted";30;998666
6900;"almost_sorted";30;1012916
7000;"almost_sorted";30;1027000
7100;"almost_sorted";30;1038000
7200;"almost_sorted";30;1052667
7300;"almost_sorted";30;1072542
7400;"almost_sorted";30;1082208
7500;"almost_sorted";30;1090459
7600;"almost_sorted";30;1105917
7700;"almost_sorted";30;1137833
7800;"almost_sorted";30;1244667
7900;"almost_sorted";30;1347834
8000;"almost_sorted";30;1390750
8100;"almost_sorted";30;1394417
8200;"almost_sorted";30;1445459
8300;"almost_sorted";30;1433458
8400;"almost_sorted";30;1451458
8500;"almost_sorted";30;1464375
8600;"almost_sorted";30;1504834
8700;"almost_sorted";30;1492750
8800;"almost_sorted";30;1512333
8900;"almost_sorted";30;1530834
9000;"almost_sorted";30;1542000
9100;"almost_sorted";30;1556292
9200;"almost_sorted";30;1573375
9300;"almost_sorted";30;1587000
9400;"almost_sorted";30;1598750
9500;"almost_sorted";30;1613625
9600;"almost_sorted";30;1636709
9700;"almost_sorted";30;1644708
9800;"almost_sorted";30;1659208
9900;"almost_sorted";30;1674083
10000;"almost_sorted";30;1688125
500;"random";50;41541
600;"random";50;48542
700;"random";50;55417
800;"random";50;62375
900;"random";50;90458
1000;"random";50;98125
1100;"random";50;107333
1200;"random";50;115291
1300;"random";50;124416
1400;"random";50;131959
1500;"random";50;141458
1600;"random";50;148750
1700;"random";50;199458
1800;"random";50;208791
1900;"random";50;218459
2000;"random";50;226917
2100;"random";50;236250
2200;"random";50;247625
2300;"random";50;256666
2400;"random";50;267333
2500;"random";50;281042
2600;"random";50;287833
2700;"random";50;297041
2800;"random";50;308208
2900;"random";50;317791
3000;"random";50;328459
3100;"random";50;338000
3200;"random";50;348167
3300;"random";50;438083
3400;"random";50;450458
3500;"random";50;458958
3600;"random";50;470625
3700;"random";50;485292
3800;"random";50;494042
3900;"random";50;505583
4000;"random";50;516334
4100;"random";50;537333
4200;"random";50;538791
4300;"random";50;550708
4400;"random";50;561625
4500;"random";50;572500
4600;"random";50;586666
4700;"random";50;601791
4800;"random";50;609541
4900;"random";50;623125
5000;"random";50;632916
5100;"random";50;642167
5200;"random";50;658833
5300;"random";50;669875
5400;"random";50;680917
5500;"random";50;694834
5600;"random";50;705500
5700;"random";50;722541
5800;"random";50;728084
5900;"random";50;741333
6000;"random";50;751375
6100;"random";50;761667
6200;"random";50;774833
6300;"random";50;787791
6400;"random";50;795125
6500;"random";50;934667
6600;"random";50;985167
6700;"random";50;1014000
6800;"random";50;1008166
6900;"random";50;1017417
7000;"random";50;1034209
7100;"random";50;1046750
7200;"random";50;1056917
7300;"random";50;1074000
7400;"random";50;1091375
7500;"random";50;1103917
7600;"random";50;1116500
7700;"random";50;1129250
7800;"random";50;1140708
7900;"random";50;1155708
8000;"random";50;1166500
8100;"random";50;1180125
8200;"random";50;1195791
8300;"random";50;1202583
8400;"random";50;1225292
8500;"random";50;1225000
8600;"random";50;1243208
8700;"random";50;1262125
8800;"random";50;1289584
8900;"random";50;1308667
9000;"random";50;1320958
9100;"random";50;1382083
9200;"random";50;1383833
9300;"random";50;1344542
9400;"random";50;1369417
9500;"random";50;1376375
9600;"random";50;1384583
9700;"random";50;1398709
9800;"random";50;1416834
9900;"random";50;1426167
10000;"random";50;1443166
500;"reversed";50;40292
600;"reversed";50;47667
700;"reversed";50;54375
800;"reversed";50;60375
900;"reversed";50;87541
1000;"reversed";50;95458
1100;"reversed";50;105250
1200;"reversed";50;113875
1300;"reversed";50;122584
1400;"reversed";50;129792
1500;"reversed";50;138542
1600;"reversed";50;147167
1700;"reversed";50;197084
1800;"reversed";50;205542
1900;"reversed";50;216167
2000;"reversed";50;225667
2100;"reversed";50;235875
2200;"reversed";50;245375
2300;"reversed";50;254584
2400;"reversed";50;265708
2500;"reversed";50;275000
2600;"reversed";50;284666
2700;"reversed";50;293792
2800;"reversed";50;305333
2900;"reversed";50;316041
3000;"reversed";50;326041
3100;"reversed";50;335625
3200;"reversed";50;344709
3300;"reversed";50;435667
3400;"reversed";50;446917
3500;"reversed";50;455833
3600;"reversed";50;469458
3700;"reversed";50;485583
3800;"reversed";50;491000
3900;"reversed";50;500917
4000;"reversed";50;511417
4100;"reversed";50;527375
4200;"reversed";50;538792
4300;"reversed";50;549667
4400;"reversed";50;561500
4500;"reversed";50;572875
4600;"reversed";50;583834
4700;"reversed";50;598167
4800;"reversed";50;607500
4900;"reversed";50;620459
5000;"reversed";50;629625
5100;"reversed";50;638959
5200;"reversed";50;654083
5300;"reversed";50;665708
5400;"reversed";50;680000
5500;"reversed";50;692625
5600;"reversed";50;703250
5700;"reversed";50;715750
5800;"reversed";50;722292
5900;"reversed";50;738167
6000;"reversed";50;747500
6100;"reversed";50;757750
6200;"reversed";50;772166
6300;"reversed";50;784959
6400;"reversed";50;792333
6500;"reversed";50;928709
6600;"reversed";50;975375
6700;"reversed";50;988667
6800;"reversed";50;1000083
6900;"reversed";50;1014500
7000;"reversed";50;1029208
7100;"reversed";50;1041917
7200;"reversed";50;1055667
7300;"reversed";50;1067167
7400;"reversed";50;1087333
7500;"reversed";50;1095792
7600;"reversed";50;1110375
7700;"reversed";50;1124000
7800;"reversed";50;1134208
7900;"reversed";50;1150083
8000;"reversed";50;1162167
8100;"reversed";50;1169667
8200;"reversed";50;1191458
8300;"reversed";50;1198334
8400;"reversed";50;1210666
8500;"reversed";50;1223917
8600;"reversed";50;1240042
8700;"reversed";50;1250208
8800;"reversed";50;1270542
8900;"reversed";50;1284500
9000;"reversed";50;1297125
9100;"reversed";50;1319333
9200;"reversed";50;1326084
9300;"reversed";50;1341250
9400;"reversed";50;1356041
9500;"reversed";50;1365041
9600;"reversed";50;1380375
9700;"reversed";50;1386000
9800;"reversed";50;1405917
9900;"reversed";50;1418917
10000;"reversed";50;1432792
500;"almost_sorted";50;40083
600;"almost_sorted";50;46834
700;"almost_sorted";50;53708
800;"almost_sorted";50;60250
900;"almost_sorted";50;87500
1000;"almost_sorted";50;95250
1100;"almost_sorted";50;103541
1200;"almost_sorted";50;111917
1300;"almost_sorted";50;121042
1400;"almost_sorted";50;128459
1500;"almost_sorted";50;138292
1600;"almost_sorted";50;146083
1700;"almost_sorted";50;195250
1800;"almost_sorted";50;205542
1900;"almost_sorted";50;215584
2000;"almost_sorted";50;223917
2100;"almost_sorted";50;236167
2200;"almost_sorted";50;245833
2300;"almost_sorted";50;254750
2400;"almost_sorted";50;264250
2500;"almost_sorted";50;274250
2600;"almost_sorted";50;284167
2700;"almost_sorted";50;293292
2800;"almost_sorted";50;304542
2900;"almost_sorted";50;315084
3000;"almost_sorted";50;325041
3100;"almost_sorted";50;335209
3200;"almost_sorted";50;343875
3300;"almost_sorted";50;433750
3400;"almost_sorted";50;444834
3500;"almost_sorted";50;455792
3600;"almost_sorted";50;466250
3700;"almost_sorted";50;480583
3800;"almost_sorted";50;490542
3900;"almost_sorted";50;500709
4000;"almost_sorted";50;512541
4100;"almost_sorted";50;525750
4200;"almost_sorted";50;537541
4300;"almost_sorted";50;548458
4400;"almost_sorted";50;562250
4500;"almost_sorted";50;572500
4600;"almost_sorted";50;586583
4700;"almost_sorted";50;596542
4800;"almost_sorted";50;605959
4900;"almost_sorted";50;618792
5000;"almost_sorted";50;628917
5100;"almost_sorted";50;637541
5200;"almost_sorted";50;653166
5300;"almost_sorted";50;666333
5400;"almost_sorted";50;678458
5500;"almost_sorted";50;691083
5600;"almost_sorted";50;702750
5700;"almost_sorted";50;718750
5800;"almost_sorted";50;726917
5900;"almost_sorted";50;734208
6000;"almost_sorted";50;749042
6100;"almost_sorted";50;755834
6200;"almost_sorted";50;770792
6300;"almost_sorted";50;783041
6400;"almost_sorted";50;790292
6500;"almost_sorted";50;928208
6600;"almost_sorted";50;973333
6700;"almost_sorted";50;985250
6800;"almost_sorted";50;999833
6900;"almost_sorted";50;1011375
7000;"almost_sorted";50;1024209
7100;"almost_sorted";50;1036583
7200;"almost_sorted";50;1050750
7300;"almost_sorted";50;1063333
7400;"almost_sorted";50;1081291
7500;"almost_sorted";50;1090500
7600;"almost_sorted";50;1104417
7700;"almost_sorted";50;1144333
7800;"almost_sorted";50;1130250
7900;"almost_sorted";50;1131584
8000;"almost_sorted";50;1141500
8100;"almost_sorted";50;1160416
8200;"almost_sorted";50;1193291
8300;"almost_sorted";50;1208250
8400;"almost_sorted";50;1222125
8500;"almost_sorted";50;1236042
8600;"almost_sorted";50;1249500
8700;"almost_sorted";50;1262417
8800;"almost_sorted";50;1275542
8900;"almost_sorted";50;1289416
9000;"almost_sorted";50;1302875
9100;"almost_sorted";50;1316291
9200;"almost_sorted";50;1329875
9300;"almost_sorted";50;1347333
9400;"almost_sorted";50;1358375
9500;"almost_sorted";50;1367375
9600;"almost_sorted";50;1382292
9700;"almost_sorted";50;1396375
9800;"almost_sorted";50;1409750
9900;"almost_sorted";50;1421959
10000;"almost_sorted";50;1438709
