n;type;threshold;msec
2500;"almost_sorted";0;1247667
2600;"almost_sorted";0;1298500
2700;"almost_sorted";0;1349833
2800;"almost_sorted";0;1402083
2900;"almost_sorted";0;1448250
3000;"almost_sorted";0;1499875
3100;"almost_sorted";0;1556083
3200;"almost_sorted";0;1616958
3300;"almost_sorted";0;1675667
3400;"almost_sorted";0;1740958
3500;"almost_sorted";0;1785584
3600;"almost_sorted";0;1830959
3700;"almost_sorted";0;1897000
3800;"almost_sorted";0;1943750
3900;"almost_sorted";0;2002208
4000;"almost_sorted";0;2036416
4100;"almost_sorted";0;2086500
4200;"almost_sorted";0;2147500
4300;"almost_sorted";0;2202000
4400;"almost_sorted";0;2256750
4500;"almost_sorted";0;2304625
4600;"almost_sorted";0;2372292
4700;"almost_sorted";0;2409958
4800;"almost_sorted";0;2468125
4900;"almost_sorted";0;2546292
5000;"almost_sorted";0;2596041
5100;"almost_sorted";0;2769458
5200;"almost_sorted";0;2823666
5300;"almost_sorted";0;3065459
5400;"almost_sorted";0;3192250
5500;"almost_sorted";0;3204625
5600;"almost_sorted";0;2847167
5700;"almost_sorted";0;2907916
5800;"almost_sorted";0;2967167
5900;"almost_sorted";0;3054125
6000;"almost_sorted";0;3333500
6100;"almost_sorted";0;3112791
6200;"almost_sorted";0;3250375
6300;"almost_sorted";0;3381250
6400;"almost_sorted";0;3327708
6500;"almost_sorted";0;3587583
6600;"almost_sorted";0;3584041
6700;"almost_sorted";0;4709833
6800;"almost_sorted";0;3791833
6900;"almost_sorted";0;4119458
7000;"almost_sorted";0;3823083
7100;"almost_sorted";0;4195542
7200;"almost_sorted";0;3899250
7300;"almost_sorted";0;4278291
7400;"almost_sorted";0;4162875
7500;"almost_sorted";0;4223000
7600;"almost_sorted";0;4396500
7700;"almost_sorted";0;4211125
7800;"almost_sorted";0;4166416
7900;"almost_sorted";0;4140750
8000;"almost_sorted";0;4202542
8100;"almost_sorted";0;4267916
8200;"almost_sorted";0;4262666
8300;"almost_sorted";0;4331458
8400;"almost_sorted";0;4377584
8500;"almost_sorted";0;4454916
8600;"almost_sorted";0;4485583
8700;"almost_sorted";0;4541125
8800;"almost_sorted";0;4642542
8900;"almost_sorted";0;4651458
9000;"almost_sorted";0;4703875
9100;"almost_sorted";0;4750417
9200;"almost_sorted";0;4816958
9300;"almost_sorted";0;4857792
9400;"almost_sorted";0;4925250
9500;"almost_sorted";0;5006500
9600;"almost_sorted";0;5037250
9700;"almost_sorted";0;5076541
9800;"almost_sorted";0;5149375
9900;"almost_sorted";0;5202542
10000;"almost_sorted";0;5255667
500;"random";5;110000
600;"random";5;122917
700;"random";5;162000
800;"random";5;204792
900;"random";5;219292
1000;"random";5;232666
1100;"random";5;248084
1200;"random";5;261750
1300;"random";5;284791
1400;"random";5;343375
1500;"random";5;399583
1600;"random";5;432084
1700;"random";5;448375
1800;"random";5;464250
1900;"random";5;480250
2000;"random";5;493458
2100;"random";5;509709
2200;"random";5;526166
2300;"random";5;538709
2400;"random";5;558416
2500;"random";5;573667
2600;"random";5;606500
2700;"random";5;664500
2800;"random";5;723791
2900;"random";5;781250
3000;"random";5;840458
3100;"random";5;893125
3200;"random";5;903541
3300;"random";5;925291
3400;"random";5;941125
3500;"random";5;957208
3600;"random";5;977292
3700;"random";5;994875
3800;"random";5;1012625
3900;"random";5;1027417
4000;"random";5;1046709
4100;"random";5;1059500
4200;"random";5;1077833
4300;"random";5;1097209
4400;"random";5;1119500
4500;"random";5;1131000
4600;"random";5;1154709
4700;"random";5;1180583
4800;"random";5;1193667
4900;"random";5;1211334
5000;"random";5;1223583
5100;"random";5;1234083
5200;"random";5;1289958
5300;"random";5;1355834
5400;"random";5;1414208
5500;"random";5;1476208
5600;"random";5;1528583
5700;"random";5;1594209
5800;"random";5;1650250
5900;"random";5;1709708
6000;"random";5;1773542
6100;"random";5;1841084
6200;"random";5;1873125
6300;"random";5;1888083
6400;"random";5;1901834
6500;"random";5;1921541
6600;"random";5;1947583
6700;"random";5;1963042
6800;"random";5;1981167
6900;"random";5;2000875
7000;"random";5;2024167
7100;"random";5;2047833
7200;"random";5;2065291
7300;"random";5;2088542
7400;"random";5;2109167
7500;"random";5;2209500
7600;"random";5;2168542
7700;"random";5;2147458
7800;"random";5;2163250
7900;"random";5;2179709
8000;"random";5;2202500
8100;"random";5;2232250
8200;"random";5;2282875
8300;"random";5;2277709
8400;"random";5;2297708
8500;"random";5;2316375
8600;"random";5;2329625
8700;"random";5;2344500
8800;"random";5;2369333
8900;"random";5;2451959
9000;"random";5;2507750
9100;"random";5;2442458
9200;"random";5;2434625
9300;"random";5;2463916
9400;"random";5;2478709
9500;"random";5;2492083
9600;"random";5;2545792
9700;"random";5;2583792
9800;"random";5;2613375
9900;"random";5;2667458
10000;"random";5;2640917
500;"reversed";5;107750
600;"reversed";5;120916
700;"reversed";5;159334
800;"reversed";5;201334
900;"reversed";5;214750
1000;"reversed";5;229292
1100;"reversed";5;242708
1200;"reversed";5;259875
1300;"reversed";5;280750
1400;"reversed";5;339292
1500;"reversed";5;397375
1600;"reversed";5;427084
1700;"reversed";5;445292
1800;"reversed";5;461334
1900;"reversed";5;479209
2000;"reversed";5;489084
2100;"reversed";5;507792
2200;"reversed";5;523083
2300;"reversed";5;538541
2400;"reversed";5;557500
2500;"reversed";5;574458
2600;"reversed";5;607625
2700;"reversed";5;667458
2800;"reversed";5;725083
2900;"reversed";5;786500
3000;"reversed";5;845625
3100;"reversed";5;894417
3200;"reversed";5;908541
3300;"reversed";5;925917
3400;"reversed";5;941500
3500;"reversed";5;955750
3600;"reversed";5;977791
3700;"reversed";5;996250
3800;"reversed";5;1013625
3900;"reversed";5;1029750
4000;"reversed";5;1048250
4100;"reversed";5;1064000
4200;"reversed";5;1086917
4300;"reversed";5;1103667
4400;"reversed";5;1119291
4500;"reversed";5;1133416
4600;"reversed";5;1152542
4700;"reversed";5;1171709
4800;"reversed";5;1194125
4900;"reversed";5;1212250
5000;"reversed";5;1227709
5100;"reversed";5;1237709
5200;"reversed";5;1294125
5300;"reversed";5;1360166
5400;"reversed";5;1426417
5500;"reversed";5;1501709
5600;"reversed";5;1550000
5700;"reversed";5;1614500
5800;"reversed";5;1688584
5900;"reversed";5;1743500
6000;"reversed";5;1809750
6100;"reversed";5;1848750
6200;"reversed";5;1886583
6300;"reversed";5;1905083
6400;"reversed";5;1915875
6500;"reversed";5;1940375
6600;"reversed";5;1960167
6700;"reversed";5;1974667
6800;"reversed";5;1995375
6900;"reversed";5;2007334
7000;"reversed";5;2022917
7100;"reversed";5;2042708
7200;"reversed";5;2070083
7300;"reversed";5;2088625
7400;"reversed";5;2104458
7500;"reversed";5;2128291
7600;"reversed";5;2152792
7700;"reversed";5;2162667
7800;"reversed";5;2178500
7900;"reversed";5;2199083
8000;"reversed";5;2220709
8100;"reversed";5;2249042
8200;"reversed";5;2260167
8300;"reversed";5;2289583
8400;"reversed";5;2304792
8500;"reversed";5;2326666
8600;"reversed";5;2345625
8700;"reversed";5;2367625
8800;"reversed";5;2376084
8900;"reversed";5;2391417
9000;"reversed";5;2409541
9100;"reversed";5;2429625
9200;"reversed";5;2452292
9300;"reversed";5;2479208
9400;"reversed";5;2509708
9500;"reversed";5;2519959
9600;"reversed";5;2534875
9700;"reversed";5;2557375
9800;"reversed";5;2574916
9900;"reversed";5;2595750
10000;"reversed";5;2607250
500;"almost_sorted";5;108208
600;"almost_sorted";5;119167
700;"almost_sorted";5;157916
800;"almost_sorted";5;199291
900;"almost_sorted";5;214083
1000;"almost_sorted";5;227042
1100;"almost_sorted";5;242750
1200;"almost_sorted";5;257500
1300;"almost_sorted";5;280125
1400;"almost_sorted";5;338875
1500;"almost_sorted";5;395375
1600;"almost_sorted";5;424917
1700;"almost_sorted";5;442375
1800;"almost_sorted";5;457833
1900;"almost_sorted";5;473417
2000;"almost_sorted";5;489125
2100;"almost_sorted";5;508625
2200;"almost_sorted";5;522708
2300;"almost_sorted";5;537375
2400;"almost_sorted";5;554666
2500;"almost_sorted";5;568542
2600;"almost_sorted";5;610125
2700;"almost_sorted";5;671000
2800;"almost_sorted";5;726416
2900;"almost_sorted";5;782958
3000;"almost_sorted";5;837875
3100;"almost_sorted";5;887625
3200;"almost_sorted";5;904875
3300;"almost_sorted";5;922750
3400;"almost_sorted";5;935375
3500;"almost_sorted";5;951292
3600;"almost_sorted";5;975334
3700;"almost_sorted";5;988042
3800;"almost_sorted";5;1007584
3900;"almost_sorted";5;1019750
4000;"almost_sorted";5;1040333
4100;"almost_sorted";5;1060167
4200;"almost_sorted";5;1080208
4300;"almost_sorted";5;1103083
4400;"almost_sorted";5;1112458
4500;"almost_sorted";5;1123333
4600;"almost_sorted";5;1144000
4700;"almost_sorted";5;1166417
4800;"almost_sorted";5;1225417
4900;"almost_sorted";5;1217750
5000;"almost_sorted";5;1212250
5100;"almost_sorted";5;1223958
5200;"almost_sorted";5;1276208
5300;"almost_sorted";5;1338792
5400;"almost_sorted";5;1400250
5500;"almost_sorted";5;1460084
5600;"almost_sorted";5;1520417
5700;"almost_sorted";5;1575583
5800;"almost_sorted";5;1639250
5900;"almost_sorted";5;1687417
6000;"almost_sorted";5;1750500
6100;"almost_sorted";5;1813208
6200;"almost_sorted";5;1859042
6300;"almost_sorted";5;1870958
6400;"almost_sorted";5;1886417
6500;"almost_sorted";5;1912208
6600;"almost_sorted";5;1929916
6700;"almost_sorted";5;1949292
6800;"almost_sorted";5;1961041
6900;"almost_sorted";5;1981666
7000;"almost_sorted";5;2003000
7100;"almost_sorted";5;2025709
